player,team,shots,goals,xg_loc,xg_def,sb_xg,context,cone,margin_loc,margin_def,swing
Adriana Leal da Silva,Orlando Pride,61,6,3.7664579490265915,3.678760595733456,4.23625,-0.0876973532931356,0.7540983606557377,2.2335420509734085,2.321239404266544,0.08769735329313555
Alexandra Morgan Carrasco,San Diego Wave,59,5,4.92084785862051,6.402954708169474,6.46085,1.482106849548964,0.7627118644067796,0.07915214137949,-1.4029547081694744,-1.4821068495489644
Ally Watt,Orlando Pride,26,1,2.21829788447877,2.4182837223855493,2.98436,0.1999858379067803,0.5384615384615384,-1.21829788447877,-1.4182837223855493,-0.19998583790677937
Alyssa Paola Thompson,Angel City,27,4,2.1981059924945474,1.956103007989986,1.96407,-0.24200298450456031,0.8518518518518519,1.8018940075054526,2.043896992010014,0.24200298450456126
Ariadina Alves Borges,Racing Louisville FC,32,1,2.6592760086463265,1.954128216916305,2.4683,-0.7051477917300206,1.4375,-1.6592760086463265,-0.954128216916305,0.7051477917300215
Ashley Hatch,Washington Spirit,54,4,6.998038875600233,7.334689089641543,7.25002,0.33665021404131024,0.6296296296296297,-2.9980388756002334,-3.334689089641543,-0.3366502140413097
Ashley Nicole Sanchez,Washington Spirit,44,5,3.00567308265189,2.72647330670849,3.14312,-0.2791997759433995,1.1590909090909092,1.99432691734811,2.27352669329151,0.27919977594339995
Bethany Balcer,Seattle Reign,36,6,3.794232388204205,3.8637834378993907,4.54411,0.06955104969518591,0.7222222222222222,2.205767611795795,2.1362165621006093,-0.06955104969518588
Bianca St Georges,Chicago Red Stars,34,4,3.500151953802581,4.009032610405433,3.92865,0.5088806566028519,0.5,0.49984804619741885,-0.009032610405433239,-0.5088806566028521
Cecelia Kizer,KC Current,30,6,3.83051572318589,5.521737803503917,5.97685,1.691222080318026,0.36666666666666664,2.16948427681411,0.47826219649608337,-1.6912220803180267
Christine Margaret Sinclair,Portland Thorns,26,3,2.410284027982583,1.9702394924357671,2.37716,-0.4400445355468155,1.2692307692307692,0.5897159720174172,1.0297605075642329,0.44004453554681566
Claire Emslie,Angel City,33,2,2.509324322498958,2.6727270913294943,2.22226,0.16340276883053695,0.7575757575757576,-0.5093243224989581,-0.6727270913294943,-0.16340276883053617
Crystal Alyssia Dunn Soubrier,Portland Thorns,34,5,3.513199648922181,3.0715429686361624,4.47359,-0.4416566802860183,0.8235294117647058,1.486800351077819,1.9284570313638376,0.4416566802860187
