player,team,team_games,minutes,position,np_shots,np_goals,npxg,np_xplace,xassists
Lilly Reale,NJY,23,1532,FB,4,0,0.1669,-0.0002,1.7283
Kate Del Fava,UTA,22,2248,CB,20,2,2.1204,-0.0854,0.2714
Paige Cronin,UTA,22,726,W,14,2,1.1171,0.7036,1.5468
Joelle Anderson,BAY,21,1422,CB,9,1,0.5548,0.5051,0.0973
Angharad James-Turner,SEA,21,896,DM,8,1,0.2656,0.2664,0.1686
Ally Brazier,DEN,21,763,W,21,1,2.8292,-1.6791,0.3429
Paige Nielsen,HOU,22,1654,CB,2,0,0.0514,-0.0514,0.1607
Janine Sonis,DEN,21,1947,FB,24,6,1.3524,1.7965,2.7623
Maycee Bell,NC,22,1609,CB,14,0,1.269,-0.5013,0.5115
Kristen McNabb,SD,22,2254,CB,8,0,0.62,-0.0782,0.9239
Jess Carter,NJY,23,2128,CB,0,0,0,0,0.1784
Sofia Cantore,WAS,22,1505,ST,37,5,4.2002,0.1328,1.1468
Sam Hiatt,POR,22,1915,CB,7,0,0.5583,0.2378,0.67
Allysha Chapman,HOU,22,742,FB,1,0,0.02,-0.02,0.0208
Sydney Collins,BAY,21,2034,FB,5,0,0.9108,-0.7382,0.7184
Racheal Kundananji,BAY,21,882,W,23,2,3.0481,-0.5417,0.9973
Phoebe McClernon,SEA,21,2081,CB,7,0,0.3558,-0.2359,0.5441
Manaka Matsukubo,NC,22,892,CM,39,5,3.6825,0.4208,1.9217
Aaliyah Farmer,CHI,22,1482,CB,8,0,0.6909,-0.2373,0.2416
Mirann Gacioch,LOU,22,1065,CB,3,1,0.3827,0.1426,0.2393
Moriya Miyabi,UTA,22,1053,FB,9,1,0.5194,-0.2726,0.8515
Sam Kerr,NJY,23,728,ST,29,3,5.2208,-0.4569,1.3641
Danielle Colaprico,HOU,22,1809,CM,10,0,0.3208,0.0884,2.5054
Debinha,KC,23,1218,AM,33,4,5.62,-0.7135,2.7733
Marie-Yasmine Alidou,POR,22,741,W,7,0,0.6557,-0.4542,0.3093
Ludmila,SD,22,1656,ST,50,2,6.6877,-2.5578,0.8396
Aissata Traore,BOS,22,1620,ST,51,6,8.4478,-0.7052,1.5293
Taylor Flint,LOU,22,1868,DM,29,2,2.1408,0.2947,0.5018
Jordyn Huitema,CHI,22,1059,ST,14,4,3.5375,0.3771,0.7691
Lo'eau LaBonta,KC,23,2025,DM,12,1,0.7166,-0.4207,2.4878
Mackenzie Arnold,POR,22,1906,GK,0,0,0,0,0.0712
Arin Wright,LOU,22,1652,CB,6,1,1.0021,-0.3251,0.7702
Taylor Huff,BAY,21,1186,W,20,1,1.2937,0.1113,1.9362
Jaedyn Shaw,NJY,23,1941,W,49,6,4.6781,-0.1309,3.2423
Haley McCutcheon,ORL,22,2155,DM,32,3,4.0218,0.4173,1.3856
Maddie Mercado,SEA,21,1888,ST,55,7,7.4946,-0.7805,1.8697
Makenna Morris,LOU,22,934,FB,12,1,0.9755,-0.1488,1.1531
Amanda Santos,BOS,22,1194,ST,35,2,3.6456,-2.1725,1.1848
Cristiana Girelli,BAY,21,962,ST,18,1,1.5652,-0.7117,0.6799
Caroline Conti,BAY,21,775,W,14,1,0.6063,0.0219,0.3513
Sarah Schupansky,NJY,23,672,AM,6,0,0.3355,-0.3355,1.1759
Carolyn Calzada,POR,22,854,CB,1,0,0.0252,-0.0252,0.5362
Quincy McMahon,LOU,22,1280,FB,10,0,0.9594,-0.1934,0.8716
Kiana Palacios,UTA,22,1502,ST,27,3,4.4155,-0.3428,1.5896
Brianna Pinto,CHI,22,1359,ST,12,0,0.999,-0.8331,0.7583
