Team,Club,xG For,xG Against,Games,Points
DEN,Denver Summit FC,29.97,31.32,21,27.0
BAY,Bay FC,25.72,34.21,21,22.0
HOU,Houston Dash,27.9,40.13,22,26.0
KC,Kansas City Current,41.93,30.84,23,34.0
SD,San Diego Wave FC,37.43,20.14,22,39.0
SEA,Seattle Reign FC,29.53,31.05,21,31.0
CHI,Chicago Stars FC,16.51,48.85,22,16.0
POR,Portland Thorns FC,30.45,32.32,22,38.0
ORL,Orlando Pride,29.91,29.62,22,26.0
WAS,Washington Spirit,34.6,25.01,22,40.0
UTA,Utah Royals FC,35.06,29.31,22,39.0
LOU,Racing Louisville FC,32.09,40.87,22,23.0
LA,Angel City FC,32.29,27.25,21,29.0
BOS,Boston Legacy FC,28.7,33.31,22,20.0
NJY,NJ/NY Gotham FC,36.22,25.2,23,48.0
NC,North Carolina Courage,41.1,29.99,22,36.0
