Player,Team,Position,Minutes,Shots,Goals,npxG,Margin,Placement,Residual,Qualified
Ashley Sanchez,NC,W,2130.0,77.0,14.0,9.03,4.97,-0.154,5.123,true
Janine Sonis,DEN,FB,1947.0,24.0,6.0,1.352,4.648,1.797,2.851,true
Trinity Byars,SD,ST,872.0,29.0,10.0,6.384,3.617,0.677,2.939,true
Barbra Banda,ORL,ST,1522.0,70.0,13.0,9.448,3.552,0.376,3.176,true
Katherine Rader,HOU,W,2084.0,41.0,7.0,4.117,2.883,2.185,0.698,true
Reilyn Turner,POR,W,804.0,23.0,5.0,2.43,2.57,0.189,2.381,true
Gisele Thompson,LA,FB,2143.0,19.0,4.0,1.451,2.549,1.22,1.329,true
Midge Purce,NJY,FB,1551.0,13.0,3.0,0.989,2.011,0.762,1.249,true
Natasha Flint,DEN,AM,1498.0,42.0,5.0,3.014,1.986,0.754,1.233,true
Narumi Miura,UTA,DM,1561.0,16.0,3.0,1.02,1.98,0.009,1.971,true
Pietra Tordin,POR,W,1860.0,45.0,7.0,5.087,1.913,0.188,1.725,true
Sveindís Jane Jónsdóttir,LA,ST,1287.0,33.0,7.0,5.138,1.862,0.038,1.824,true
Leicy Santos,WAS,AM,1664.0,35.0,5.0,3.173,1.827,0.486,1.341,true
Emma Sears,LOU,W,1811.0,46.0,7.0,5.182,1.818,-0.085,1.903,true
Samantha Smith,BOS,FB,1410.0,34.0,5.0,3.442,1.558,2.038,-0.48,true
Cloe Lacasse,UTA,W,2071.0,38.0,6.0,4.643,1.357,1.098,0.26,true
Jaedyn Shaw,NJY,W,1941.0,49.0,6.0,4.678,1.322,-0.131,1.453,true
Manaka Matsukubo,NC,CM,892.0,39.0,5.0,3.683,1.318,0.421,0.897,true
Prisca Chilufya,LA,ST,635.0,18.0,4.0,2.824,1.176,-0.639,1.815,true
Rebeca Bernal,WAS,DM,1622.0,16.0,3.0,1.847,1.153,0.748,0.405,true
Kiki Van Zanten,HOU,ST,1213.0,29.0,4.0,2.861,1.139,1.862,-0.723,true
Evelyn Ijeh,NC,ST,1654.0,44.0,11.0,9.894,1.106,-0.407,1.513,true
Melanie Barcenas,SD,W,1109.0,42.0,5.0,3.937,1.063,1.3,-0.237,true
Dudinha,SD,W,1247.0,36.0,5.0,3.964,1.036,-1.656,2.693,true
Mal Swanson,CHI,W,674.0,12.0,2.0,1.083,0.917,0.408,0.509,true
Julia Grosso,CHI,AM,1337.0,14.0,2.0,1.114,0.886,1.027,-0.141,true
Paige Cronin,UTA,W,726.0,14.0,2.0,1.117,0.883,0.704,0.179,true
Maiara Niehues,LA,W,1155.0,37.0,5.0,4.118,0.882,0.709,0.172,true
Clarissa Laris­ey,HOU,ST,661.0,11.0,2.0,1.163,0.837,0.743,0.094,true
Sofia Cantore,WAS,ST,1505.0,37.0,5.0,4.2,0.8,0.133,0.667,true
Kayla Fischer,LOU,ST,1806.0,43.0,6.0,5.23,0.771,-0.063,0.834,true
Melissa Kossler,DEN,ST,1483.0,37.0,6.0,5.258,0.742,-0.314,1.056,true
Mina Tanaka,UTA,AM,1723.0,44.0,5.0,4.27,0.73,0.204,0.526,true
Bianca St. Georges,BOS,FB,1610.0,16.0,2.0,1.294,0.706,-0.401,1.107,true
Trinity Rodman,WAS,W,2093.0,80.0,10.0,9.301,0.699,-2.478,3.177,true
Temwa Chawinga,KC,W,980.0,27.0,9.0,8.365,0.635,0.104,0.53,true
Lia Eugenia Godfrey,SD,AM,1457.0,28.0,5.0,4.4,0.6,1.103,-0.504,true
Nádia Gomes,CHI,W,1567.0,17.0,2.0,1.522,0.478,0.002,0.477,true
Jessie Fleming,POR,DM,2203.0,12.0,1.0,0.527,0.473,-0.014,0.487,true
Jordyn Huitema,CHI,ST,1059.0,14.0,4.0,3.538,0.462,0.377,0.085,true
Michelle Cooper,KC,W,1249.0,27.0,5.0,4.545,0.455,-0.64,1.095,true
Caroline Conti,BAY,W,775.0,14.0,1.0,0.606,0.394,0.022,0.372,true
Alba Caño,BOS,CM,2028.0,43.0,3.0,2.62,0.38,0.799,-0.418,true
Sarah Weber,LOU,ST,1085.0,22.0,3.0,2.624,0.376,0.422,-0.046,true
Maggie Graham,HOU,CM,2149.0,14.0,2.0,1.653,0.347,0.372,-0.025,true
Sally Menti,SEA,AM,1132.0,15.0,2.0,1.657,0.343,-0.532,0.875,true
Natalie Means,DEN,W,744.0,10.0,1.0,0.714,0.286,-0.245,0.531,true
Lo'eau LaBonta,KC,DM,2025.0,12.0,1.0,0.717,0.283,-0.421,0.704,true
Hannah Bebar,BAY,DM,2076.0,23.0,1.0,0.73,0.27,-0.519,0.789,true
Yazmeen Ryan,DEN,W,2019.0,48.0,5.0,4.732,0.268,-0.661,0.928,true
Haley Hopkins,KC,W,1531.0,26.0,5.0,4.827,0.173,0.199,-0.026,true
Nichelle Prince,BOS,W,1925.0,13.0,2.0,1.868,0.132,-0.585,0.716,true
Bárbara Olivieri,BOS,W,1466.0,20.0,1.0,0.881,0.119,-0.44,0.559,true
Kenza Dali,SD,DM,1682.0,20.0,1.0,0.917,0.083,0.073,0.01,true
Kate Faasse,HOU,ST,1197.0,19.0,4.0,3.94,0.061,-0.125,0.186,true
Makenna Morris,LOU,FB,934.0,12.0,1.0,0.976,0.024,-0.149,0.173,true
Marie Muller,POR,FB,1357.0,15.0,1.0,1.001,-0.001,-0.763,0.762,true
Emily Sams,LA,CB,2123.0,12.0,1.0,1.063,-0.063,-0.002,-0.061,true
Kate Del Fava,UTA,CB,2248.0,20.0,2.0,2.12,-0.12,-0.085,-0.035,true
Taylor Flint,LOU,DM,1868.0,29.0,2.0,2.141,-0.141,0.295,-0.436,true
Lauren Milliet,LOU,FB,2138.0,23.0,3.0,3.167,-0.167,-0.436,0.27,true
Nérilia Mondésir,SEA,W,1009.0,17.0,1.0,1.175,-0.175,-0.499,0.324,true
Ary Borges,LA,DM,1889.0,27.0,2.0,2.206,-0.206,-0.604,0.398,true
Julie Doyle,ORL,W,854.0,12.0,1.0,1.21,-0.21,-0.515,0.305,true
Taylor Huff,BAY,W,1186.0,20.0,1.0,1.294,-0.294,0.111,-0.405,true
