Team,Club,Games,xG For,xG Against,xG Difference,Points
SD,San Diego Wave FC,22,37.43,20.14,17.3,39.0
NC,North Carolina Courage,22,41.1,29.99,11.11,36.0
KC,Kansas City Current,23,41.93,30.84,11.09,34.0
NJY,NJ/NY Gotham FC,23,36.22,25.2,11.02,48.0
WAS,Washington Spirit,22,34.6,25.01,9.59,40.0
UTA,Utah Royals FC,22,35.06,29.31,5.75,39.0
LA,Angel City FC,21,32.29,27.25,5.04,29.0
ORL,Orlando Pride,22,29.91,29.62,0.29,26.0
DEN,Denver Summit FC,21,29.97,31.32,-1.35,27.0
SEA,Seattle Reign FC,21,29.53,31.05,-1.52,31.0
POR,Portland Thorns FC,22,30.45,32.32,-1.87,38.0
BOS,Boston Legacy FC,22,28.7,33.31,-4.6,20.0
BAY,Bay FC,21,25.72,34.21,-8.49,22.0
LOU,Racing Louisville FC,22,32.09,40.87,-8.78,23.0
HOU,Houston Dash,22,27.9,40.13,-12.23,26.0
CHI,Chicago Stars FC,22,16.51,48.85,-32.34,16.0
